"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"BIRKENHEAD 1",332600,387900,183,209,160,172,157,134,122,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRKENHEAD 2",331500,388200,91,95,84,82,67,67,60,46,39,35,41,35,34,37,20,18,16,18,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRKENHEAD 3",329400,389100,154,161,133,132,123,106,96,81,74,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRKENHEAD 4",328100,386700,130,147,130,119,102,99,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRKENHEAD 7",329400,391100,200,199,185,169,166,132,108,79,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 19",407500,287700,125,129,120,108,97,84,71,61,52,59,51,43,45,44,24,25,20,22,19,17,17,17,15,14,14,15,13,14,12,11,11
"BIRMINGHAM 20",407500,287700,NA,NA,119,119,109,104,87,61,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 21",407900,289800,NA,NA,NA,NA,NA,NA,78,53,49,49,46,41,41,38,21,24,19,20,15,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 22",404600,286500,NA,NA,NA,NA,132,119,113,86,72,68,65,58,56,57,34,29,23,26,21,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 23",404400,290200,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,60,46,54,49,33,32,26,27,22,18,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 24",409400,291800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,44,61,49,54,38,37,21,29,25,14,7,10,8,8,6,7,5,6,5
"BIRMINGHAM 25",403700,282100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,36,30,26,17,14,10,9,7
"BIRMINGHAM 26",411500,288900,178,190,198,149,137,127,100,65,72,51,61,36,36,23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRMINGHAM 27",408500,284300,88,91,94,84,91,68,79,55,68,32,28,16,14,16,15,15,10,10,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIRTLEY 6",427600,556000,197,168,148,147,135,85,39,82,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BISHOPBRIGGS 1",261200,671300,NA,178,162,145,101,94,76,52,59,31,41,21,24,19,21,16,11,11,13,16,17,16,14,NA,NA,NA,NA,NA,NA,NA,NA
"BISHOP'S STORTFORD 1",548800,221400,33,28,27,26,22,19,14,13,11,17,16,12,15,15,10,13,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BISHOP'S STORTFORD 2",548600,220700,45,46,50,45,42,45,33,29,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKBURN 16",367800,428100,38,35,33,31,28,27,25,20,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKBURN 20",370600,427400,NA,NA,NA,NA,NA,6,23,18,14,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKPOOL 1",332100,435600,130,128,113,101,83,71,50,39,41,36,38,30,37,32,19,29,23,26,21,16,17,22,19,8,16,16,18,16,16,21,23
"BLACKPOOL 2",331600,437000,154,156,134,134,111,91,50,33,32,33,36,28,33,30,21,24,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKPOOL 3",332400,433200,109,94,91,84,68,59,40,24,27,28,29,24,26,23,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKPOOL 5",333700,434200,85,68,72,63,69,56,40,23,25,24,23,19,23,20,22,18,15,16,13,11,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKPOOL 6",331700,436700,55,55,53,44,51,43,24,16,21,20,22,16,20,16,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLACKROD 1",361300,410900,66,69,77,59,59,51,28,21,23,25,34,21,24,16,22,15,9,15,15,11,9,7,7,NA,NA,NA,NA,NA,NA,NA,NA
"BLAYDON 1",418700,563200,83,85,79,75,69,52,30,23,23,28,26,20,19,21,19,12,12,18,15,11,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLETCHLEY 1",487900,233800,138,143,134,119,88,82,49,33,30,30,37,28,30,23,19,21,18,28,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLETCHLEY 2",485700,233700,73,83,77,70,66,57,38,25,27,29,34,26,29,23,18,29,18,25,19,18,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLYTH 14",431600,581500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,18,13,14,14,13,NA,NA,NA,NA,NA,NA,NA,NA
"BLYTH 15",431400,581700,37,33,36,28,25,28,22,NA,20,22,19,23,30,27,20,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLSOVER 5",447500,370600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,10,11,12,10,9,10,12,9,7,6,NA,NA,NA,NA,NA
"BOLTON 17",372900,411300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,38,24,18,23,20,16,15
"BOLTON 18",367200,408200,NA,NA,NA,NA,NA,NA,NA,NA,15,18,21,17,18,24,17,18,11,13,14,12,14,10,10,8,7,5,NA,NA,NA,NA,NA
"BOLTON 20",374200,409800,67,62,62,45,44,39,34,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 21",367900,407100,72,67,66,55,53,56,53,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 22",371600,407800,85,53,63,60,48,43,40,28,33,30,32,25,14,21,16,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 26",368500,411000,98,60,52,46,35,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 27",369000,407800,69,62,49,66,46,40,26,29,26,21,23,16,17,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 28",371300,411700,38,32,31,27,24,20,14,17,17,21,21,18,16,14,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 29",374100,409600,151,131,131,95,68,48,58,52,39,35,38,31,31,26,21,28,20,20,20,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BO'NESS 2",298900,680800,NA,NA,NA,NA,34,26,21,18,13,15,14,10,11,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BONNYRIGG 1",330900,665100,51,35,37,30,34,36,31,31,26,21,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOTLE 2",334100,396300,55,52,45,52,41,39,27,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOTLE 3",335400,399400,51,45,41,43,36,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOTLE 5",334800,396800,NA,NA,NA,NA,49,24,25,19,13,17,14,10,12,11,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOTLE 6",334500,394800,NA,NA,NA,NA,62,37,36,23,19,22,20,11,17,17,12,14,NA,NA,NA,14,12,10,9,9,8,8,6,7,5,7,6
"BOROUGH GREEN 1",561100,157400,NA,NA,NA,NA,NA,NA,51,28,22,26,24,17,19,17,15,15,13,19,19,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOURNEMOUTH 6",406400,95400,42,39,45,44,41,42,37,NA,NA,NA,19,28,34,32,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOURNEMOUTH 7",412400,92300,29,23,23,26,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRACKNELL 2",487200,169300,37,35,36,38,29,26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 15",418600,433000,29,27,27,28,24,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 16",418700,430300,NA,NA,NA,NA,NA,NA,NA,NA,41,29,31,27,25,24,17,18,14,14,12,13,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 17",415400,427300,NA,NA,NA,NA,NA,NA,NA,NA,24,22,14,11,10,12,11,13,10,13,13,10,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 18",410100,432800,NA,NA,NA,NA,18,15,11,11,10,15,15,10,12,11,9,11,NA,11,9,9,7,8,8,5,6,NA,NA,NA,NA,NA,NA
"BRADFORD 19",413300,433400,96,93,42,63,71,55,44,40,30,32,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 20",415100,435100,58,62,51,44,53,36,33,26,27,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 21",415500,433300,128,104,87,73,55,37,29,24,22,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 22",415800,432000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,32,34,28,30,21,26,19,13,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 23",418600,433100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,42,41,38,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAINTREE 4",575800,223000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,22,22,22,19,19,17,18,15,17,15,11,8,NA,NA,NA
"BRAINTREE 8",575700,223500,86,174,93,115,100,72,95,86,NA,49,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAMPTON 1",441400,401900,137,124,127,108,59,75,110,88,58,47,42,25,33,28,28,30,26,25,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIDGWATER 2",329600,136900,NA,105,71,84,47,52,85,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIDLINGTON 2",517900,467800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,20,18,19,12,12,9,9,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIDLINGTON 3",517600,467300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,22,16,29,22,23,16,20,8,8,5,5,3,8,8,12,7,14,14
"BRIERLEY HILL 9",391800,287300,43,37,38,32,28,26,26,24,26,28,23,21,21,20,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIERLEY HILL 10",388900,288800,10,13,18,NA,74,35,16,9,11,21,33,27,28,18,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIGHTON 2",532300,105200,NA,17,14,NA,45,135,27,6,10,19,12,16,21,16,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIGHTON 3",531300,106300,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,11,14,13,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIMINGTON 1",440500,373600,31,42,39,15,NA,23,24,68,15,22,23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 3",356200,178800,64,53,69,77,64,44,36,34,52,65,58,64,42,29,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 8",357700,174200,88,90,76,64,67,66,59,53,41,40,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 18",359800,177900,43,52,40,43,49,44,32,29,21,22,21,20,37,36,20,19,8,15,12,11,13,11,12,12,11,17,NA,NA,NA,NA,NA
"BRISTOL 21",358700,172700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,61,54,33,31,17,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 22",357400,168200,57,60,56,60,50,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 26",363400,176300,52,41,37,29,40,23,14,10,21,17,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRISTOL 28",359000,173200,67,47,28,33,32,31,21,10,26,17,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMLEY 2",540400,169400,NA,NA,NA,37,33,25,21,10,15,11,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMLEY 3",540100,166900,78,82,83,68,72,86,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMLEY 4",541800,167800,109,94,93,61,52,61,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROMLEY 5",541200,169200,NA,NA,NA,NA,NA,NA,76,55,45,50,50,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROXBURN 2",308000,672300,NA,NA,NA,NA,NA,NA,116,63,43,66,70,62,71,71,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUNGAY 1",634000,289500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,59,46,53,47,57,55,49,46,37,30,16,17,13,11,10,9
"BURHAM 1",573000,161900,40,37,39,33,29,27,28,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURNLEY 8",383900,432300,42,42,41,34,29,25,27,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURNLEY 10",382500,431600,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,16,13,12,12,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURNLEY 11",385300,434700,59,36,34,31,30,30,27,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURNTWOOD 1",404700,308700,NA,NA,NA,NA,NA,NA,NA,NA,16,22,18,14,18,16,15,13,11,11,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURTON-UPON-TRENT 11",425000,323400,26,53,50,53,56,51,52,59,43,43,50,35,23,28,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURTON-UPON-TRENT 12",424000,323500,34,49,48,66,46,36,37,36,27,40,32,23,17,16,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURY 2",381600,411700,18,14,14,16,18,20,17,18,14,16,21,15,16,12,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURY 3",380300,410500,50,61,52,54,49,50,50,54,46,34,58,39,28,28,21,20,14,18,16,11,15,14,12,10,14,12,11,10,8,7,5
"BURY 5",381200,407200,28,31,35,29,33,33,26,31,25,24,28,23,18,16,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURY 8",381100,412500,147,162,124,NA,203,109,86,65,74,55,54,43,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURY 9",381900,411600,NA,NA,NA,NA,109,56,51,44,46,47,23,27,21,16,16,22,18,19,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUSHEY(HERTSMERE) 2",513200,195300,NA,NA,NA,NA,NA,137,78,61,68,64,77,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUXTON 1",405800,373300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,47,27,34,24,24,19,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUXTON 2",406800,373800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,25,26,19,24,26,17,13,14,15,13,12,10,8,9,11
"CAERLEON 1",333500,191300,52,81,146,132,96,51,56,41,42,34,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALDICOT 1",348100,188200,96,121,121,108,92,70,66,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBERLEY 1",486900,160600,NA,NA,NA,NA,94,57,36,40,24,28,28,18,22,25,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBERWELL 3",533300,176800,37,37,36,34,29,25,23,21,14,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBERWELL 4",534300,173500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,14,13,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBERWELL 5",533300,176800,71,69,62,51,36,32,34,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBRIDGE 9",546100,258000,247,230,217,249,117,148,179,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBRIDGE 10",544700,260700,129,177,136,119,170,137,129,122,92,75,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBRIDGE 11",547200,257100,NA,NA,NA,NA,NA,NA,NA,NA,99,88,88,64,64,81,61,60,54,49,34,41,36,36,32,21,12,NA,NA,NA,NA,NA,NA
"CAMBRIDGE 12",544900,258600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,11,7,8,11,13
"CANNOCK 14",397000,309900,130,169,84,203,70,70,NA,NA,40,38,36,27,30,29,22,22,19,18,16,17,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANNOCK 15",398200,310200,84,94,89,59,29,19,17,32,25,24,27,19,20,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANNOCK 16",397900,310400,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38,30,30,13,16,30,22,22,19,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANNOCK 17",396800,309800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,47,36,35,32,29,38,24,27,22,15,11,9,NA,NA
"CANNOCK 18",398900,311700,122,91,62,41,53,28,47,34,26,16,9,24,23,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANTERBURY 1",615100,158300,60,63,61,54,53,28,48,33,26,28,26,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANTERBURY 3",613900,158200,NA,NA,NA,65,48,35,38,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANTERBURY 5",615100,157900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,7,7,5,9,3,8,9,6,5,4,NA
"CANVEY ISLAND 1",580000,183600,NA,NA,NA,NA,NA,NA,9,18,13,14,12,8,15,12,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANVEY ISLAND 2",580000,183600,95,58,41,91,78,83,74,54,50,56,55,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 9",318300,175600,56,56,59,57,38,37,36,38,27,30,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 10",320500,176300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,31,18,18,23,21,25,23,19,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 11",318900,181500,NA,74,25,19,NA,38,32,20,16,21,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 13",321900,180000,NA,NA,NA,NA,NA,52,82,86,51,59,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLISLE 7",339700,555100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,32,30,26,17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLISLE 10",340100,557200,54,42,45,38,49,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLISLE 11",338200,555400,37,31,33,31,32,42,23,29,16,21,18,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLISLE 12",340700,555500,16,22,26,26,25,34,20,24,15,12,10,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLISLE 13",339800,555000,89,86,77,75,82,61,47,59,43,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLTON 2",459000,343200,108,106,107,93,73,59,97,82,60,58,56,40,29,18,17,20,14,15,21,17,15,8,6,5,4,3,5,7,8,6,6
"CARLTON 3",462300,341400,52,50,50,40,44,34,32,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLTON 7",461400,341400,NA,NA,NA,NA,NA,NA,NA,66,48,51,52,42,38,45,28,41,30,22,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARSHALTON 4",527700,164500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,40,38,36,28,24,23,23,17,14,10,10,4
"CARSHALTON 6",527800,164600,50,47,46,42,40,33,32,32,26,NA,24,26,52,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTLE BROMWICH 1",416000,289500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,13,10,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTLEFORD 5",443200,425600,53,43,58,38,40,37,43,32,NA,28,21,15,15,14,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTLEFORD 6",445800,425800,38,38,41,47,45,45,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTLEFORD 9",443400,425500,143,164,139,131,123,96,106,87,88,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTLEFORD 10",443700,425700,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,68,59,64,85,68,48,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHADDERTON 4",390900,405300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,18,18,27,15,13,10,11,7,16,13,11,10,12
"CHAPELTOWN 2",433600,393500,38,36,33,28,22,22,22,23,18,26,19,16,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHAPELTOWN 3",435600,396200,93,88,79,72,75,65,53,45,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
