 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20120901,200,206,283,311,239,444,344,361,256,333,311,167,244,311,311,233,283,239
20120902,233,300,261,344,228,433,356,361,250,344,367,156,239,322,356,294,344,244
20120903,233,306,261,372,233,439,361,361,233,350,356,144,228,361,367,306,361,261
20120904,178,244,289,383,228,456,378,378,272,322,367,144,267,372,356,256,367,278
20120905,183,228,283,372,211,467,267,383,272,311,361,139,228,306,344,239,322,278
20120906,194,239,278,361,244,461,328,333,283,311,344,144,272,339,328,256,328,261
20120907,200,261,272,361,272,444,333,356,250,311,356,139,261,344,350,239,344,272
20120908,178,244,256,367,261,456,378,372,250,311,356,133,250,350,372,217,339,244
20120909,200,267,267,372,283,478,383,383,267,317,333,178,261,350,361,233,328,217
20120910,239,283,272,361,222,483,350,372,283,267,356,178,256,350,328,283,339,233
20120911,217,244,244,356,228,433,317,350,239,278,361,167,239,356,300,278,350,272
20120912,194,244,261,361,239,406,328,339,244,272,367,156,239,350,344,244,350,289
20120913,189,272,244,383,228,428,389,333,233,272,378,139,239,389,406,267,361,289
20120914,183,239,317,411,250,444,417,350,289,267,356,156,272,400,383,233,350,250
20120915,183,244,383,389,272,444,406,350,367,283,344,133,306,378,400,244,356,250
20120916,189,239,256,378,222,444,344,356,283,300,356,144,256,383,372,244,350,267
20120917,189,222,250,367,194,433,322,356,239,294,378,144,222,372,294,217,306,272
20120918,183,239,250,333,233,433,344,350,233,317,344,167,233,333,333,206,322,256
20120919,178,228,261,344,244,439,372,356,250,256,344,139,244,322,339,200,311,267
20120920,178,233,267,339,256,444,383,361,256,261,356,144,250,322,350,222,328,244
20120921,211,256,261,344,244,450,378,367,267,267,350,161,267,328,350,261,328,233
20120922,228,278,278,361,250,444,339,361,289,289,350,150,283,333,344,289,356,250
20120923,217,283,322,378,222,444,378,350,283,283,339,167,272,383,350,283,339,228
20120924,200,244,267,339,200,444,328,356,256,278,333,172,233,361,306,250,311,244
20120925,200,228,239,322,206,444,278,333,222,250,356,144,222,322,322,256,333,239
20120926,183,211,239,350,200,400,300,322,222,267,344,139,222,350,339,239,333,272
20120927,211,272,244,367,200,417,322,322,228,300,356,144,239,356,339,272,350,267
20120928,206,206,250,356,194,417,333,333,233,306,372,150,239,361,317,211,333,250
20120929,194,250,283,350,233,422,361,328,250,300,372,133,239,333,361,267,344,250
20120930,278,339,283,361,317,428,383,344,283,256,378,161,289,350,394,322,361,294
20121001,328,367,267,372,378,439,411,356,283,228,394,233,311,367,406,344,378,289
20121002,339,367,300,383,383,450,400,367,294,239,378,167,322,372,406,356,378,267
20121003,261,278,278,378,228,433,339,372,244,294,361,189,228,378,328,317,361,256
20121004,222,217,239,322,217,433,272,350,217,267,300,144,217,333,256,244,261,228
20121005,222,233,228,283,217,400,289,333,222,267,250,200,239,283,294,233,256,167
20121006,222,233,250,278,250,372,294,317,244,278,256,167,244,278,289,217,250,172
20121007,211,233,239,278,233,389,283,317,239,294,272,139,239,272,283,228,272,194
20121008,206,222,239,267,233,378,267,289,233,256,244,156,228,256,256,222,250,122
20121009,206,228,233,267,244,383,239,306,222,133,250,144,222,239,256,217,250,156
20121010,194,228,228,250,189,367,228,278,217,128,278,122,222,256,200,211,272,178
20121011,150,156,206,222,150,350,211,250,217,239,289,122,211,206,161,156,189,200
20121012,183,167,217,194,161,283,217,200,217,222,189,183,211,211,167,172,189,128
20121013,222,239,228,239,233,261,261,200,222,261,278,183,233,217,233,217,250,156
20121014,217,239,272,278,261,283,344,250,278,239,250,194,294,250,289,217,272,172
20121015,222,272,250,289,261,333,350,283,306,267,294,194,306,283,300,233,300,183
20121016,222,306,289,306,278,350,344,306,300,267,306,178,283,289,322,244,317,161
20121017,300,306,333,306,289,356,367,317,339,233,328,150,311,294,328,289,300,272
20121018,300,322,233,350,283,372,289,306,272,233,322,194,278,350,317,311,322,239
20121019,211,233,239,294,239,378,283,300,228,267,278,156,217,289,300,217,283,194
20121020,189,239,206,289,206,356,200,311,217,267,256,144,206,289,267,189,261,133
20121021,167,211,206,250,200,356,217,289,228,239,211,156,211,239,228,167,200,89
20121022,178,194,206,172,194,333,211,239,217,233,150,133,211,228,156,172,161,6
20121023,172,178,211,194,194,328,200,233,200,261,150,144,206,206,183,167,178,17
20121024,183,189,206,206,194,278,228,206,211,267,144,156,222,200,206,183,183,6
20121025,189,217,222,228,228,283,272,200,272,283,183,144,239,222,239,172,200,78
20121026,217,233,283,222,228,278,283,217,306,283,239,156,289,217,256,217,239,128
20121027,256,267,289,250,256,267,317,194,311,256,278,183,328,244,283,244,267,156
20121028,222,267,250,278,272,300,317,244,283,228,256,178,261,272,306,244,272,183
20121029,211,233,244,283,244,317,289,267,222,233,256,189,250,294,300,206,272,189
20121030,189,194,217,294,211,317,278,289,194,167,233,200,206,289,294,217,256,167
20121031,178,178,200,278,161,317,250,283,183,150,150,167,206,267,228,178,189,111
20121101,189,206,200,189,178,317,206,278,189,189,194,172,194,233,206,200,228,94
20121102,183,200,200,211,206,317,222,278,200,183,200,178,206,206,233,194,217,117
20121103,217,228,206,239,250,311,261,239,206,239,244,189,222,222,250,228,233,144
20121104,244,256,306,256,272,317,317,256,306,233,289,178,328,239,289,261,250,222
20121105,261,272,300,278,311,328,344,267,328,228,306,172,339,267,322,289,272,228
20121106,256,272,206,294,267,356,306,278,267,178,256,189,250,300,328,267,272,206
20121107,178,172,206,283,172,350,228,283,189,117,217,156,200,283,278,194,250,144
20121108,161,156,194,178,172,322,167,289,183,133,156,122,167,183,161,167,167,11
20121109,139,144,189,133,144,317,167,222,178,189,111,106,167,161,156,144,150,0
20121110,150,150,178,144,167,239,156,133,167,206,122,117,161,144,156,156,150,11
20121111,156,144,172,156,172,200,183,117,194,239,128,144,194,167,167,167,161,33
20121112,172,167,200,178,183,194,211,117,228,233,156,172,228,178,200,172,172,61
20121113,183,206,244,194,228,206,272,150,267,239,139,150,272,183,222,206,183,67
20121114,200,222,217,217,239,217,261,178,261,139,222,144,233,183,217,211,222,128
20121115,189,200,194,222,200,222,194,183,194,128,172,150,178,189,189,217,194,139
20121116,172,172,217,233,172,211,161,183,217,106,139,178,194,228,167,189,183,44
20121117,178,178,217,206,172,217,161,189,206,156,144,161,172,244,178,189,172,56
20121118,167,161,200,200,167,272,189,189,194,144,111,128,183,211,183,178,172,17
20121119,194,189,211,206,178,261,189,200,194,150,150,172,194,206,194,200,194,50
20121120,189,183,189,211,161,261,211,200,194,178,150,172,183,217,206,200,206,61
20121121,178,189,183,217,194,244,211,200,189,183,172,144,194,222,211,189,178,33
20121122,178,178,183,167,183,244,217,233,200,189,189,139,178,189,206,183,183,144
20121123,183,194,194,194,222,272,261,211,189,211,200,172,194,200,244,206,194,144
20121124,194,189,217,206,211,289,306,217,211,156,194,156,228,206,256,200,200,128
20121125,194,172,161,194,189,261,250,222,194,144,217,128,183,200,233,139,200,133
20121126,156,183,178,206,156,244,206,239,189,211,189,128,178,206,206,183,189,122
20121127,161,167,189,183,172,244,211,206,194,117,144,167,183,206,172,167,167,78
